,la_code,reporting_year,academic_year,region_code,region_name,la_name,pt_ks2_expectations,pt_ks4_expectations,avg_p8score,num_convictions,num_placed_inside_la,pt_convictions,pt_placed_inside_la,num_substance,num_private_provis,pt_substance,pt_private_provis,num_3_more_placemts,pt_3_more_placemts,inspection_date,ofsted_overall,ofsted_leaders,ofsted_help_protection,ofsted_care,cla_budget,number_in_care,number_in_care_filled,num_convictions_filled,num_placed_inside_la_filled,num_substance_filled,num_private_provis_filled,num_3_more_placemts_filled,pt_convictions_filled,pt_placed_inside_la_filled,pt_substance_filled,pt_private_provis_filled,pt_3_more_placemts_filled,pt_ks2_expectations_filled,pt_ks4_expectations_filled,avg_p8score_filled,per_child_spend,cla_budget_filled,ofsted_overall_filled,ofsted_leaders_filled,ofsted_care_filled,ofsted_help_protection_filled,budget_per_child
729,E09000002,2018,201718.0,E13000002,Outer London,Barking and Dagenham,43.0,,-1.12,11.0,153.0,5.0,37.0,0.0,138.0,0.0,34.0,44.0,11.0,,,,,,21178.0,409.0,409.0,11.0,153.0,0.0,138.0,44.0,5.0,37.0,0.0,34.0,11.0,43.0,26.04,-1.12,51.779951100244496,21178.0,2.0,2.0,2.0,2.0,51.779951100244496
580,E09000002,2019,201819.0,E13000002,Outer London,Barking and Dagenham,59.0,28.6,-0.74,7.0,163.0,3.0,39.0,,129.0,,31.0,41.0,10.0,,,,,,20019.0,414.0,414.0,7.0,163.0,1.0,129.0,41.0,3.0,39.0,0.24154589371980675,31.0,10.0,59.0,28.6,-0.74,48.35507246376812,20019.0,2.0,2.0,2.0,2.0,48.35507246376812
431,E09000002,2020,201920.0,E13000002,Outer London,Barking and Dagenham,,37.9,,,155.0,,39.0,,137.0,,34.0,36.0,9.0,,,,,,19372.0,402.0,402.0,3.0,155.0,6.0,137.0,36.0,0.7462686567164178,39.0,1.4925373134328357,34.0,9.0,48.77777777777778,37.9,-1.3151923076923078,48.18905472636816,19372.0,2.0,2.0,2.0,2.0,48.18905472636816
280,E09000002,2021,202021.0,E13000002,Outer London,Barking and Dagenham,,30.8,,,147.0,,38.0,0.0,144.0,0.0,37.0,43.0,11.0,,,,,,18399.0,391.0,391.0,5.0,147.0,0.0,144.0,43.0,1.278772378516624,38.0,0.0,37.0,11.0,48.77777777777778,30.8,-1.3151923076923078,47.05626598465473,18399.0,2.0,2.0,2.0,2.0,47.05626598465473
130,E09000002,2022,202122.0,E13000002,Outer London,Barking and Dagenham,50.0,,-1.29,,163.0,,39.0,0.0,153.0,0.0,37.0,52.0,13.0,10/07/2023,2.0,2.0,2.0,2.0,21009.0,413.0,413.0,4.0,163.0,0.0,153.0,52.0,0.9685230024213075,39.0,0.0,37.0,13.0,50.0,31.557142857142857,-1.29,50.869249394673126,21009.0,2.0,2.0,2.0,2.0,50.869249394673126
730,E09000003,2018,201718.0,E13000002,Outer London,Barnet,,,-0.93,,117.0,,36.0,0.0,162.0,0.0,49.0,37.0,11.0,,,,,,21169.0,328.0,328.0,4.0,117.0,0.0,162.0,37.0,1.2195121951219512,36.0,0.0,49.0,11.0,52.333333333333336,26.04,-0.93,64.53963414634147,21169.0,3.0,3.0,3.0,3.0,64.53963414634147
581,E09000003,2019,201819.0,E13000002,Outer London,Barnet,,,-0.83,0.0,119.0,0.0,38.0,,132.0,,42.0,38.0,12.0,13/05/2019,3.0,3.0,3.0,3.0,23079.0,312.0,312.0,0.0,119.0,3.0,132.0,38.0,0.0,38.0,0.9615384615384616,42.0,12.0,46.666666666666664,25.6,-0.83,73.97115384615384,23079.0,3.0,3.0,3.0,3.0,73.97115384615384
432,E09000003,2020,201920.0,E13000002,Outer London,Barnet,,24.1,,0.0,122.0,0.0,37.0,0.0,159.0,0.0,49.0,38.0,12.0,,,,,,26322.0,327.0,327.0,0.0,122.0,0.0,159.0,38.0,0.0,37.0,0.0,49.0,12.0,48.77777777777778,24.1,-1.3151923076923078,80.4954128440367,26322.0,3.0,3.0,3.0,3.0,80.4954128440367
281,E09000003,2021,202021.0,E13000002,Outer London,Barnet,,35.3,,,116.0,,36.0,0.0,166.0,0.0,51.0,30.0,9.0,,,,,,29824.0,323.0,323.0,3.0,116.0,0.0,166.0,30.0,0.9287925696594427,36.0,0.0,51.0,9.0,48.77777777777778,35.3,-1.3151923076923078,92.3343653250774,29824.0,3.0,3.0,3.0,3.0,92.3343653250774
131,E09000003,2022,202122.0,E13000002,Outer London,Barnet,,,-1.79,,128.0,,38.0,0.0,180.0,0.0,54.0,34.0,10.0,,,,,,31240.0,333.0,333.0,4.0,128.0,0.0,180.0,34.0,1.2012012012012012,38.0,0.0,54.0,10.0,47.333333333333336,31.557142857142857,-1.79,93.81381381381381,31240.0,3.0,3.0,3.0,3.0,93.81381381381381
634,E08000016,2018,201718.0,E12000003,Yorkshire and The Humber,Barnsley,,43.8,-0.43,,211.0,,68.0,6.0,79.0,3.0,25.0,28.0,9.0,08/10/2018,3.0,3.0,3.0,3.0,19275.0,310.0,310.0,2.0,211.0,6.0,79.0,28.0,0.6451612903225806,68.0,3.0,25.0,9.0,38.714285714285715,43.8,-0.43,62.17741935483871,19275.0,3.0,3.0,3.0,3.0,62.17741935483871
485,E08000016,2019,201819.0,E12000003,Yorkshire and The Humber,Barnsley,,,-0.61,9.0,207.0,7.0,69.0,7.0,82.0,3.0,27.0,33.0,11.0,,,,,,19642.0,301.0,301.0,9.0,207.0,7.0,82.0,33.0,7.0,69.0,3.0,27.0,11.0,36.0,22.177777777777777,-0.61,65.25581395348837,19642.0,3.0,3.0,3.0,3.0,65.25581395348837
334,E08000016,2020,201920.0,E12000003,Yorkshire and The Humber,Barnsley,,,,,220.0,,73.0,,85.0,,28.0,23.0,8.0,,,,,,19498.0,300.0,300.0,4.0,220.0,3.0,85.0,23.0,1.3333333333333335,73.0,1.0,28.0,8.0,34.42857142857143,23.86,-1.1673333333333333,64.99333333333334,19498.0,3.0,3.0,3.0,3.0,64.99333333333334
